view_history,rt,name,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version,PROLIFIC_PID,STUDY_ID,SESSION_ID,subject_id,study_id,session_id,response,question_order,accuracy,stimulus,slider_start,price,rate_trial,num_ratings,sequence,option,rank,num_options,num_seqs,seq_cond,reward_cond,array,num_draws
"[{""page_index"":0,""viewing_time"":5868},{""page_index"":1,""viewing_time"":8256},{""page_index"":2,""viewing_time"":3224}]",17348,information sheet,instructions,0,17351,0.0-0.0,14,1,06/02/2023 14:33,ade4f6ea5f9a534a6de2afd25aaa37ca,90.202.132.131,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",WebKit,Chrome,109.0.0.0,Windows,10,614474abab1644252b136279,63e10c411fe3329c8004dfab,63e10f9b9d58b3b116bb4e99,614474abab1644252b136279,63e10c411fe3329c8004dfab,63e10f9b9d58b3b116bb4e99,,,,,,,,,,,,,,,,,
,19819,consent_form,survey-multi-select,1,37175,0.0-1.0,14,1,06/02/2023 14:33,ade4f6ea5f9a534a6de2afd25aaa37ca,90.202.132.131,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",WebKit,Chrome,109.0.0.0,Windows,10,614474abab1644252b136279,63e10c411fe3329c8004dfab,63e10f9b9d58b3b116bb4e99,614474abab1644252b136279,63e10c411fe3329c8004dfab,63e10f9b9d58b3b116bb4e99,"{""Q0"":[""<p style=\""font-size: 12pt;\"">I agree</p>""],""Q1"":[""<p style=\""font-size: 12pt;\"">I agree</p>""],""Q2"":[""<p style=\""font-size: 12pt;\"">I agree</p>""],""Q3"":[""<p style=\""font-size: 12pt;\"">I agree</p>""],""Q4"":[""<p style=\""font-size: 12pt;\"">I agree</p>""],""Q5"":[""<p style=\""font-size: 12pt;\"">I agree</p>""],""Q6"":[""<p style=\""font-size: 12pt;\"">I agree</p>""]}","[0,1,2,3,4,5,6]",,,,,,,,,,,,,,,
,11447,demographics_survey,survey,2,48680,0.0-2.0,14,1,06/02/2023 14:33,ade4f6ea5f9a534a6de2afd25aaa37ca,90.202.132.131,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",WebKit,Chrome,109.0.0.0,Windows,10,614474abab1644252b136279,63e10c411fe3329c8004dfab,63e10f9b9d58b3b116bb4e99,614474abab1644252b136279,63e10c411fe3329c8004dfab,63e10f9b9d58b3b116bb4e99,"{""P0_Q0"":null,""gender"":""Male"",""age"":""66""}",,[],,,,,,,,,,,,,,
"[{""page_index"":0,""viewing_time"":27124}]",27125,phase1_instructions,instructions,3,75811,0.0-3.0,14,1,06/02/2023 14:33,ade4f6ea5f9a534a6de2afd25aaa37ca,90.202.132.131,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",WebKit,Chrome,109.0.0.0,Windows,10,614474abab1644252b136279,63e10c411fe3329c8004dfab,63e10f9b9d58b3b116bb4e99,614474abab1644252b136279,63e10c411fe3329c8004dfab,63e10f9b9d58b3b116bb4e99,,,,,,,,,,,,,,,,,
,13781,rating_trial,html-slider-response,4,89596,0.0-4.0,14,1,06/02/2023 14:33,ade4f6ea5f9a534a6de2afd25aaa37ca,90.202.132.131,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",WebKit,Chrome,109.0.0.0,Windows,10,614474abab1644252b136279,63e10c411fe3329c8004dfab,63e10f9b9d58b3b116bb4e99,614474abab1644252b136279,63e10c411fe3329c8004dfab,63e10f9b9d58b3b116bb4e99,10,,,Price of this smartphone contract: £ 642.96,50,642.96,0,180,,,,,,,,,
,7494,rating_trial,html-slider-response,5,97091,0.0-5.0,14,1,06/02/2023 14:33,ade4f6ea5f9a534a6de2afd25aaa37ca,90.202.132.131,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",WebKit,Chrome,109.0.0.0,Windows,10,614474abab1644252b136279,63e10c411fe3329c8004dfab,63e10f9b9d58b3b116bb4e99,614474abab1644252b136279,63e10c411fe3329c8004dfab,63e10f9b9d58b3b116bb4e99,25,,,Price of this smartphone contract: £ 552,50,552,1,180,,,,,,,,,
,5742,rating_trial,html-slider-response,6,102835,0.0-6.0,14,1,06/02/2023 14:33,ade4f6ea5f9a534a6de2afd25aaa37ca,90.202.132.131,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",WebKit,Chrome,109.0.0.0,Windows,10,614474abab1644252b136279,63e10c411fe3329c8004dfab,63e10f9b9d58b3b116bb4e99,614474abab1644252b136279,63e10c411fe3329c8004dfab,63e10f9b9d58b3b116bb4e99,5,,,Price of this smartphone contract: £ 799.99,50,799.99,2,180,,,,,,,,,
,3350,rating_trial,html-slider-response,7,106187,0.0-7.0,14,1,06/02/2023 14:33,ade4f6ea5f9a534a6de2afd25aaa37ca,90.202.132.131,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",WebKit,Chrome,109.0.0.0,Windows,10,614474abab1644252b136279,63e10c411fe3329c8004dfab,63e10f9b9d58b3b116bb4e99,614474abab1644252b136279,63e10c411fe3329c8004dfab,63e10f9b9d58b3b116bb4e99,1,,,Price of this smartphone contract: £ 945.99,50,945.99,3,180,,,,,,,,,
,5454,rating_trial,html-slider-response,8,111643,0.0-8.0,14,1,06/02/2023 14:33,ade4f6ea5f9a534a6de2afd25aaa37ca,90.202.132.131,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",WebKit,Chrome,109.0.0.0,Windows,10,614474abab1644252b136279,63e10c411fe3329c8004dfab,63e10f9b9d58b3b116bb4e99,614474abab1644252b136279,63e10c411fe3329c8004dfab,63e10f9b9d58b3b116bb4e99,13,,,Price of this smartphone contract: £ 795,50,795,4,180,,,,,,,,,
,4263,rating_trial,html-slider-response,9,115907,0.0-9.0,14,1,06/02/2023 14:33,ade4f6ea5f9a534a6de2afd25aaa37ca,90.202.132.131,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",WebKit,Chrome,109.0.0.0,Windows,10,614474abab1644252b136279,63e10c411fe3329c8004dfab,63e10f9b9d58b3b116bb4e99,614474abab1644252b136279,63e10c411fe3329c8004dfab,63e10f9b9d58b3b116bb4e99,1,,,Price of this smartphone contract: £ 825.99,50,825.99,5,180,,,,,,,,,
